NAME,COMP,MASS,R,RUPPER,RLOWER,UR,PER,ECC,DEC,RA,DIST,PLANETDISCMETH,STAR,MSTAR,RSTAR,TEFF,DATE,MULT
,,mjupiter,rjupiter,rjupiter,rjupiter,rjupiter,day,,deg,hr,pc,,,msun,rsun,k,,
HIP 14810 b,b,3.87441,,,,,6.673859,0.142483,21.09748889,3.187286111,53.4474,RV,HIP 14810,0.99,1.31998,5485,2006,1
Kepler-10 c,c,0.054117,0.209653,0.0035686,0.01249,0.0080293,45.29485,,50.24130556,19.04529528,173,Transit,Kepler-10,0.895,1.056,5627,2011,1
Kepler-259 c,c,0.0222169,0.240878,0.11687,0.11687,0.11687,36.924931,,46.615,19.21413056,,Transit,Kepler-259,,0.898,5938,2014,1
Kepler-444 b,b,0.000134008,0.0367,0.0015,0.0013,0.0014,3.6001053,0.16,41.63613889,19.31679722,35.7,Transit,Kepler-444,0.758,0.752,5046,2010,1
Kepler-304 d,d,0.0229193,0.245339,0.0187349,0.0187349,0.0187349,9.653471,,40.55758889,19.62945,,Transit,Kepler-304,,0.687,4731,2014,1
Kepler-150 e,e,0.0290307,0.278348,0.0490677,0.0490677,0.0490677,30.826557,,40.5209,19.21561111,,Transit,Kepler-150,,0.939,5560,2014,1
Kepler-218 c,c,0.029411,0.280132,0.0231956,0.0231956,0.0231956,44.699576,,46.26646944,19.69418889,,Transit,Kepler-218,,1.063,5502,2014,1
Kepler-203 b,b,0.0205131,0.22928,0.0463913,0.0463913,0.0463913,3.162697,,41.38803056,19.806,,Transit,Kepler-203,,1.114,5821,2014,1
Kepler-244 d,d,0.0175824,0.206084,0.0865376,0.0865376,0.0865376,20.050401,,42.30136944,19.14951111,,Transit,Kepler-244,,0.803,5554,2014,1
24 Sex c,c,1.51716,,,,,910,0.412,-0.902161111,10.39120278,77.4593,RV,24 Sex,1.81,3.92062,5069,2011,1
Kepler-358 b,b,0.0224946,0.242662,0.121331,0.121331,0.121331,34.060467,,48.28136944,19.54868056,,Transit,Kepler-358,,0.954,5908,2014,1
Kepler-373 c,c,0.00621274,0.110625,0.0553127,0.0553127,0.0553127,16.725948,,50.59705,19.29253056,,Transit,Kepler-373,,0.845,5787,2014,1
Kepler-466 c,c,0.00648186,0.112,0.00029,0.01471,0.0075,3.70921385,0,48.49555556,19.70991389,436,Transit,Kepler-466,1.04,1.05,5927,2016,1
HD 60532 c,c,2.46312,,,,,604,0.02,-22.29618056,7.567558333,25.2972,RV,HD 60532,1.44,2.35065,6095,2008,1
Kepler-299 b,b,0.00769114,0.117763,0.0240878,0.0240878,0.0240878,2.927128,,48.5805,18.88046111,,Transit,Kepler-299,,1.032,5617,2014,1
